subject,topic,question_text,choice1,choice2,choice3,choice4,correct_answer
Physics,Heat,What is the specific gravity of gold?,17.5,18.6,19.3,20.2,19.3
Physics,Heat,"If the temperature of a metallic conductor increases, what happens to its resistivity?",Increases,Decreases,Remains Constant,Cannot be determined,Increases
Physics,Extra,Who is the father of experimental physics?,Galileo Galilie,Sir Issac Newton,Albert Einstein,Thomas Alba Edison,Galileo Galilie
Physics,Heat,"If a rod is heated uniformly, which of the following remains unchanged?",Volume,Area,Length,None,None
Physics,Dynamics,Two bodies of masses m and m/2 are moving with equal kinetic energy. Ratio of their linear momentum is:, 2:1, 1:4, 4:1,Cannot be determined, 2:1
Physics,WaveSound,"If the frequency of a wave is tripled while its velocity remains constant, what happens to its wavelength?",Becomes 1/3,Becomes 3  times,Becomes the same,Becomes 1/2,Becomes 1/3
Physics,Extra,Who discovered proton?,J. J Thomson,Goldstein,James Chadwick,Rutherford,Goldstein
Physics,Optics,"A concave mirror has a focal length of 20cm. If an object is placed 40cm in front of it, what is the image distance?",10 cm,20 cm,30 cm,40 cm,40 cm
Physics,Heat,The triple point of the water is:,273.16 K,373.16 K,273.15 K,100 C,273.16 K
Physics,Pressure,"A cube with a side length of 4 m is immersed in water. What is the upthrust experienced by the cube? (Density of Water = 1000 $kg/m^3, g = 10 m/s^2$)","160,000 N","200,000 N","300,000 N","640,000 N","640,000 N"
Chemistry,ChemicalReaction,Which of the following is a chemical change?,Melting of Ice,Boiling of Water,Rusting of Iron,Breaking of Glass,Rusting of Iron
Chemistry,AtomsMolecules,The atomic number of an element is equal to:,Number of neutrons,Number of electrons only,Number of protons,Mass Number,Number of protons
Chemistry,MetalsNonMetals,Which of the following is an alkali metal?,Magnesium,Calcium,Sodium,Aluminium,Sodium
Chemistry,AcidBaseSalt,What is the pH value of a neutral solution?,1,5,7,14,7
Chemistry,AtomsMolecules,Which of the following is not a characteristic of a compound?,It is made up of only one kind of atom,It has a fixed composition,Its components are in fixed ratio,It has different properties that its constituents,It is made up of only one kind of atom
Chemistry,Water,The molecular formula of water:,$H_2$,$OH$,$H_2O$,$HO_2$,$H_{2}O$
Chemistry,MetalsNonMetals,Which gas is evolved when dilute hydrochloric acid reacts with zinc?,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,Hydrogen
Chemistry,MetalsNonMetals,Which of the following metals will not react with cold water?,Sodium,Calcium,Magnesium,Potassium,Magnesium
Chemistry,ChemicalReaction,Which type of bond is formed when electrons are shared?,Ionic Bond,Covalent Bond,Metallic Bond,Hydrogen Bond,Covalent Bond
Chemistry,PeriodicTable,Which of the following is a noble gas?,Oxygen,Nitrogen,Neon,Chlorine,Neon
Biology,HumanSystem,Reflex actions are controlled by:,Brain,Spinal Cord,Heart,Lungs,Spinal Cord
Biology,HumanSystem,Insulin is secreted by:,Liver,Pancreas,Adrenal,Pituitary,Pancreas
Biology,HumanSystem,Largest muscle in human body is:,Biceps,Masseter,Gluteus Maximux,Trapezius,Gluteus Maximux
Biology,HumanSystem,Which muscle is responsible for voluntary movement?,Smooth muscle,Cardiac muscle,Skeletal muscle,None,Skeletal muscle
Biology,PlantDiversity,The process by which plants lose water vapor is called,Transpiration,Respiration,Photosynthesis,Germination,Transpiration
Biology,CellBiology,The movement of substance in and out of cells is regulated by:,Nucleus,Ribosome,Cell membrane,Cytoplasm,Cell membrane
Biology,Genetics,The sex of an offspring is determined by which chromosome,X Chromosome,Y Chromosome,None,Both,Both
Biology,PlantDiversity,Which of the following are the reproductive part of a flower?,Leaf,Stem,Petal,Stamen and Pistil,Stamen and Pistil
Biology,HumanSystem,Human skeleton consists of how many bones?,206,208,210,214,206
Biology,HumanSystem,Which part of brain is responsible for memory and decision making?,Cerebellum,Cerebrum,Medulla oblongata,Spinal Cord,Cerebrum
Maths,Algebra,Solve for x: $2(x-3)+5=3x-4$,3,5,7,9,3
Maths,CoordinateGeometry,What is the slope of the line $3x-2y=8$?,-2,2,4,-4,2
Maths,QuadraticEquation,The roots of $x^2-5x+6=0$ are:,2 and 3,-2 and -3,1 and 6,-1 and -6,2 and 3
Maths,Geometry,"A triangle has sides 6cm, 8cm, and 10cm. What type of triangle is it?",Equilateral,Isosceles,Scalene,Right-angled,Right-angled
Maths,Trigonometry,"In a right angled triangle, if $sin\theta$ = $\frac{3}{5}$, what is $cos\theta$?", 4/5 , 3/4, 5/4, 5/3, 4/5 
Maths,Probability,A bag has 4 red and 6 blue marbles. The probability of drawing a red marble is:, 2/5, 3/5, 1/2, 4/5, 2/5
Maths,CoordinateGeometry,"The midpoint of the line segment joining (1, 3) and (5, 9) is:","(3, 6)","(2, 4)","(4, 12)","(6, 12)","(3, 6)"
Maths,Indices,Simplify $\frac{3^5 \times 3^2}{3^4}$,$3^3$,$3^7$,$3^9$,$3^{11}$,$3^3$
Maths,Algebra,The HCF of 36 and 48 is:,6,8,12,16,12
Maths,Algebra,A number is doubled and then increased by 7. The result is 21. What is the original number?,5,7,9,14,7
English,Articles,He plays ______ volleyball very well.,an,a,the,no article,no article
English,Conditionals,Iron rusts if it ______ wet.,get,got,get,gets,gets
English,Prepositions,Unika has been working ______ 10 years.,for,since,of,in,for
English,Prepositions,She is afraid ______ the dark.,in,at,of,with,of
English,ReportedSpeech,Rita said that she ______ to the market earlier that day.,goes,gone,will go,had gone,had gone
English,Prepositions,She insisted ___ going to the party.,on,at,to,for,on
English,Connectives,He is not only intelligent ___ also hardworking.,than,as,and,but,but
English,Voice,They are painting the house.,The house paints,The house is being painted.,The house is paint,The house was painting,The house is being painted.
English,CausativeVerbs,My brother got a washing machine ___ his clothes.,washed,wash,to wash,washes,to wash
English,QuestionTag,"He hardly speaks, ______.",is he?,isn't he?,does he?,doesn't he?,does he?
GKIQ,iq,Which word does not belong in the group?,Inch,Kilogram,Centimeter,Meter,Kilogram
GKIQ,iq,"Two fathers and two sons went fishing. They each caught one fish, but there were only three fish in total. How is this possible?",Two are the same person,One didn't catch a fish,They released one fish,It is not possible,Two are the same person
GKIQ,iq,"Which comes next in this letter series? $A, C, F, J, O, __$",U,S,T,R,U
GKIQ,iq,A bat and a ball cost \$1.10 in total. The bat costs \$1 more than the ball. How much does the ball cost?,$0.05 ,$0.10 ,$0.01 ,$0.15 ,$0.05 
GKIQ,iq,"What comes next in the sequence: $1, 4, 9, 16, 25, __$ ? ",35,29,36,48,36
GKIQ,gk,Which year did Nepal become a member of the United Nations?,1951,1955,1960,1949,1955
GKIQ,gk,What is the smallest country in the world by area?,Monaco,San Marino,Nauru,Vatican City,Vatican City
