subject;question;option1;option2;option3;option4;answer;image
PHY;Which of the following is an example of a non-contact force?;Normal Force;Gravitational Force;Tension;Friction;b;FALSE
PHY;"When you walk on a stationary boat in still water, the boat moves:";No Movement;Backwards;Sideways;Forwards;b;FALSE
PHY;A net horizontal force of 20N acts on a 4 kg block which is initially at rest for 5 seconds. Find the final velocity of the block.;10 m/s;20 m/s;25 m/s;30 m/s;c;FALSE
PHY;"The cross-sectional area of a large piston is 2 times of the small piston, then what should be the weight of small piston (W1) and large piston (W2) to make a balance of hydraulic machine?";"$W_{1} = 4N, W_{2} = 2N$";"$W_{1} = 5N, W_{2} = 10N$";"$W_{1} = 2N, W_{2} = 1N$";"$W_{1} = 3N, W_{2} = 1.5N$";b;FALSE
PHY;The minimum velocity of the spacecraft to escape from earth's gravitational force must be:;1.12 km/s;112 km/s;11.2 km/s;0.112 km/s;c;FALSE
PHY;Melting point of gold is:;$1064^\circ$C;$1200^\circ$C;$800^\circ$C;$950^\circ$C;a;FALSE
PHY;What is the focal length of a lens with a magnification of -1.5 if the object is placed at 30cm from the lens?;+45cm;-30cm;-45cm;+30cm;c;FALSE
PHY;Following is the graph explaining the variation of v with respect to u for a mirror. What is the value of points above the marking P on the curve for values of v;Smaller than f;Larger than 2f;Smaller than 2f;None;b;D:\Projects\Web Projects\ace-the-entrance\config\media\sxcmodelset\picture1.png
PHY;Specific heat capacity of gold is approximately:;0.129 J/gK;0.79 J/gK;1 J/gK;2.12 J/gK;a;FALSE
PHY;A car is moving at 150 km/hr stops in 150m. What is the time taken to stop?;7.2 seconds;30 seconds;15 seconds;3 seconds;a;FALSE
PHY;"A current of 3 A is flowing through a conductor placed in a magnetic field of strength 0.5 T. If the length of the conductor is 2 m, what will be the force on the conductor?";3 N;0.5 N;1.5 N;6 N;a;FALSE
PHY;What is the effect of doubling the resistance in a circuit with constant voltage?;The current doubles;The power remains constant;The current halves;The power increases;c;FALSE
PHY;Which of the following devices uses the magnetic effect of electric current?;Electric Motor;Capacitor;Electric Bulbs;Battery;a;FALSE
PHY;How can the direction of the magnetic field around a current-carrying wire determined?;Right-hand Thumb Rule;Lenz's Law;Fleming's Left-hand rule;Ohm's Law;a;FALSE
PHY;What happens when a sound wave travels from air into water?;Frequency remains constant while wavelength changes;Both Frequency and wavelength increase;Wavelength stays constant but frequency rises;Speed drops and frequency increases;a;FALSE
PHY;At what condition does a metal liquefy?;When it reacts with acid;When its temperature reaches the boiling point;When its temperature reaches the melting point;When pressure is reduced to zero;c;FALSE
PHY;"Which period is called the ""Age of Fishes""?";Carboniferous;Devonian;Triassic;Jurassic;b;FALSE
PHY;What is the SI unit of electric potential difference?;Watt;Ampere;Volt;Ohm;c;FALSE
PHY;Formation of stars and black holes is due to:;Chemical Reactions;Gravitational Collapse;Magnetic Fields;Nuclear Fission;b;FALSE
PHY;What part of sun is visible in an eclipse?;Corona;Core;Photosphere;Chromosphere;a;FALSE
CHE;Which element has the highest electron affinity?;Oxygen;Fluorine;Nitrogen;Chlorine;d;FALSE
CHE;Laboratory preparation of Ammonia is followed by the reaction:;$CaCl_{2} + NH_{4}Cl$;$Ca(OH)_{2} + 2NH_{6}Cl$;$Ca(OH)_{2} + 2NH_{4}Cl$;$CaCl_{2} + 2NH_{4}OH$;c;FALSE
CHE;Which of the following is an acidic salt?;$NH_{4}Cl$;$K_{2}SO_{4}$;$NaCl$;$CaCO_{3}$;a;FALSE
CHE;"If Zn, Cu, and HCl are reacted, what happens?";$Zn\ reacts\ with\ HCl\ to\ form\ H_{2}\ Gas$;$Cu\ reacts\ vigorously\ with\ HCl$;$Both\ Zn\ and\ Cu\ react\ equally$;$No\ reaction\ occurs$;a;FALSE
CHE;Molecular formula of calaverite is:;$AuTe$;$AuTe_{2}$;$Au(CV)_{3}$;$AuTe_{3}$;d;FALSE
CHE;Which of the following is called bluestone?;Zinc Sulphate;Copper Sulphate;Copper Oxide;Iron Phosphate;b;FALSE
CHE;"In a particular reaction, one of the reactants limit the number of products formed. That is called as:";Limiting Reagent;Excessive Reagent;Limiting Product;Excessive Reactant;b;FALSE
CHE;What's the balanced equation of $CO_{2} + H_{2}O \rarr C_{6}H_{12}O_{6} + O_{2}?$;$CO_{2} + H_{2}O \rarr C_{6}H_{12}O_{6} + O_{2}$;$6 CO_{2} + 6 H_{2}O \rarr C_{6}H_{12}O_{6} + 6 O_{2}$;$6 CO_{2} + 6 H_{2}O \rarr C_{6}H_{12}O_{6} + 2 O_{2}$;$3 CO_{2} + 2H_{2}O \rarr C_{6}H_{12}O_{6} + O_{2}$;b;FALSE
CHE;Which of the following is neither acid nor base?;$CH_{3}COOH$;$KCl$;$HCl$;$CH_{3}OH$;d;FALSE
CHE;Which is defined as species that donate pair of electrons?;Lewis Acid;Lewis Base;Bronsted-Lowry Acid;Arrhenius Base;b;FALSE
CHE;Which of the following compounds is yielded from the reduction of nitroalkanes?;Amine;Diazo Compounds;Acid;Alcohol;a;FALSE
CHE;Which of the following is the simplest member of organic compounds?;Formic Acid;Methane;Formaldehyde;Methanol;b;FALSE
CHE;Nickel oxide is generally of what color?;Yellow;Green;Blue;Red;b;FALSE
CHE;"If the pH of a solution is 5 and it is diluted 100 times, the new solution becomes:";Basic;Amphoteric;Acidic;Neutral;d;FALSE
CHE;How many groups and periods are present in the modern periodic table?;18 groups and 7 periods;20 groups and 7 periods;16 groups and 8 periods;18 groups and 8 periods;a;FALSE
CHE;Which of the following is a type of polymer formed when carbon-based monomers?;Salt;Protein;Water;Nylon;d;FALSE
CHE;"An aluminum strip is kept immersed in freshly prepared ferrous sulphate solution, the change observed is that:";Green solution slowly turns brown;Lower end of test tube becomes slightly warm;A colorless gas with the smell of burning sulfur is observed;Light green solution changes to blue;a;FALSE
CHE;Which of the following is a base that is used in cleaning products?;Sodium Bicarbonate;Hydrochloric Acid;Sodium Hydroxide;Citric Acid;c;FALSE
CHE;Which of the following is the formula of a denaturing agent?;$C_{2}H_{5}OH$;$C_{6}H_{12}O_{6}$;$NaCl$;$CO(NH_{2})_{2}$;a;FALSE
CHE;Which atomic orbital is spherical in shape?;2s;3d;3p;4f;a;FALSE
BIO;What is the male gamete in plants?;Seed;Sperm;Pollen Grain;Ovule;c;FALSE
BIO;Which of the following is an adaptation in plants for gaseous exchange during photosynthesis?;Thick Cuticle;Sunken Stomata;Guard Cells;Lenticels;c;FALSE
BIO;Which of the following is an example of vegetative propagation?;Binary Fission in Amoeba;Spore formation in Fungi;Growth of a new plant from stem cutting;Budding in Hydra;c;FALSE
BIO;Which of the following is a stress hormone?;Thyroxine;Cortisol;Estrogen;Insulin;b;FALSE
BIO;Which hormone is responsible for plant growth?;Insulin;Adrenaline;Auxin;Thyroxine;c;FALSE
BIO;Which acid is present in apple?;Malic Acid;Acetic Acid;Citric Acid;Tartaric Acid;a;FALSE
BIO;Who proposed the concept of the ecological pyramid?;Robert Whittaker;Charles Elton;Ernst Haeckel;Charles Darwin;b;FALSE
BIO;"In a dihybrid cross, what is the phenotypic ratio observed in the F2 generation?";3:01;1:02:01;2:01;9:3:3:1;d;FALSE
BIO;What are the units of inheritance?;Genes;RNA;Chromosomes;DNA;a;FALSE
BIO;How many chromosomes are present in an unfertilized bee (drone)?;16;46;32;23;a;FALSE
BIO;Which law of Mendel states that traits are inherited independently?;Law of Independent Assortment;Law of Dominance;Law of Segregation;Law of Genetics;a;FALSE
BIO;What is the function of the reflex arc?;Process Complex Thoughts;Provide immediate response to stimuli;Regulate Blood Pressure;Control Hormone Secretion;b;FALSE
BIO;Which of the following is NOT a feature of anaerobic respiration?;Produces less energy compared to aerobic respiration;Generates water as a byproduct;Produces ethanol or lactic acid;Occurs in the absence of oxygen;b;FALSE
BIO;What is the main function of the spinal cord?;Controlling Emotions;Regulating Hormones;Thinking and Memory;Transmitting signals between the brain and the body;d;FALSE
BIO;Which of the following is a steroid hormone?;Oxytocin;Testosterone;Glucagon;Insulin;b;FALSE
BIO;Which method of reproduction is common in yeast?;Binary Fission;Budding;Segmentation;Fragmentation;b;FALSE
BIO;What is the function of the fallopian tubes in the female reproductive system?;To provide nourishment to the embryo;To produce hormones;To transport eggs from ovaries to the uterus;To produce eggs;c;FALSE
BIO;What happens in a food chain when the top predator is removed?;Increase in primary producers;Decrease in herbivores;Disruption of ecosystem balance;Formation of new trophic levels;b;FALSE
BIO;Why are food webs more stable than food chains?;They provide alternate pathways for energy flow;They involve only primary consumers;They are linear;They eliminate decomposers;a;FALSE
BIO;Which molecule acts as the primary energy currency in the cell?;ATP;NADH;Glucose;ADP;a;FALSE
ENG;"$\textbf{Answers Next 5 Questions based on the passage below:}$ $\\$ Electric vehicles (EVs) are becoming increasingly popular as an alternative to traditional gasoline-powered cars. They run on electricity stored in batteries and produce no direct tailpipe emissions, making them environmentally friendly when charged with renewable energy sources. However, their overall carbon footprint can be higher if electricity is generated primarily from fossil fuels like coal. Governments around the world are encouraging the use of EVs by providing subsidies and building charging infrastructure. The production of EV batteries involves resource extraction, such as mining lithium and other minerals, which can have significant environmental impacts. At the end of their lifecycle, battery disposal and recycling also pose challenges. Despite their advantages, obstacles to widespread adoption include limited driving range, long charging times, high initial costs, and concerns over battery production and end-of-life management. Lack of consumer interest due to these factors remains a key barrier. $\\$ The passage implies that EVs are most environmentally beneficial when:";Electricity is generated from renewable sources;Electricity is generated from coal;Electricity is imported from other countries;Electricity is generated from nuclear power;a;FALSE
ENG;Which of the following BEST explains why EVs may not always reduce carbon emissions significantly;EV consumes more electricity than traditional cars;Electricity production may rely heavily on fossil fuels;EV Batteries are too small to store energy efficiently;EVs require more frequent maintenance;b;FALSE
ENG;"According to the passage, which issue is related to the lifecycle of EV batteries?";High purchase cost;Lack of Government Incentives;Disposal and Resource Extraction;Limited Driving Range;c;FALSE
ENG;The author's tone in the passage can BEST be described as:;Overly Enthusiastic;Optimistic but cautious;Neutral and detached;Strongly Critical;b;FALSE
ENG;Which of the following challenges is NOT mentioned in the passage?;Economic Feasibility;Battery Disposal;Lack of consumer interest;Resource extraction for lithium;c;FALSE
ENG;Choose the word that is closest in meaning to 'ephemeral'.;Difficult to Understand;Lasting for a short time;Extremely Large;Very Powerful;b;FALSE
ENG;What does the idiom 'to burn the midnight oil' mean?;To waste time;To work late into the night;To travel at night;To celebrate success;b;FALSE
ENG;Which syllable is stressed in 'economics'?;First;Second;Third;Fourth;b;FALSE
ENG;Which of the following words are correctly matched with their syllable counts? (Environment-3, Literature-3, Photography-5, Opportunity-3);1 & 2;1 & 3;2 & 4;Only 3;b;FALSE
ENG;Which of the following sentences are grammatically correct? (See list in prompt);Only 3;"1, 2 & 5";Only 2;"1, 2, 3, & 4";c;FALSE
IQ_GK;Who is the writer of 'Dreams from my father'?;Balen Shah;David Cameroon;Nelson Mandela;Barack Obama;d;FALSE
IQ_GK;Which of the following country is named after a metal?;Russia;Mali;Turkey;Argentina;d;FALSE
IQ_GK;Which of the district is know as 'Jholunge Pul (Suspension Bridge) ko Jilla'?;Lamjung;Gorkha;Tanahu;Baglung;a;FALSE
IQ_GK;Which of the following have won most Madan Puraskar?;Rup Singh Thapa;Siddhicharan Shrestha;Bairagi Kahila;Satya Mohan Joshi;d;FALSE
IQ_GK;Who was the prime minister after the 2007 revolution?;Subarna Shumsher;Mohan Shumsher;Babbar Shumsher;BP Koirala;b;FALSE
IQ_GK;"If a person walks north and turns $90^\circ$ twice, which direction is he facing?";South;North;West;East;a;FALSE
IQ_GK;"Find the wrong number in the series: 7, 8, 18, 57, 228, 1165, 6996";8;228;18;57;b;FALSE
IQ_GK;How many people are there who take both tea and coffee but not wine? (Based on diagram);87;71;7;82;d;D:\Projects\Web Projects\ace-the-entrance\config\media\sxcmodelset\picture3.png
IQ_GK;"If a clock gains 10 minutes in 24 hours, what will be the time shown when real time is 5 AM next day (29 hours later)?";6:00 AM;4:48 AM;5:12 AM;5:00 AM;c;FALSE
IQ_GK;"If a woman says, ""He is the only son of my mother's mother, the man is her?""";Nephew;Maternal Uncle;Cousin;Brother;b;FALSE
MAT;The sum of n terms of series $2^{2}+4^{2}+6^{2}+...$ is:;$\frac{n^{2}(n+3)}{4}$;$\frac{n^{2}(n-1)}{3}$;$\frac{2n(n+2)}{6}$;$\frac{2n(n+1)(2n+1)}{3}$;d;FALSE
MAT;"A survey was conducted among 100 people in a community. 60 people have a shortage of water, 40 people have a shortage of electricity, and 36 people have neither shortage. Find the number of people who have both shortages.";24;26;54;36;d;FALSE
MAT;"Find he HCF of $x^{2}-3x+2, x^{2}-2x+1, 2x^{2}-2x.$";$x-1$;$(x-1)(x-2)$;$(x-2)$;$x$;a;FALSE
MAT;"Solve the following equations to find the value of (x, y): $$y=-\frac{1}{4}x+2\ and\ x+4y = 4$$";"(1, 2)";"(0, 4)";"(3/4, 5)";No Solution;d;FALSE
MAT;Determine the points at which the function $f(x)=\frac{4x+5}{9-3x}$ is discontinuous.;x = 0;x = -1;x = 3;All of them;c;FALSE
